date,product_name,shelf_life_days,units_sold,units_produced,starting_inventory,spoilage_units,stockout_units,ending_inventory
2025-11-07,Tropical Vibes,5,37,50,353,0,0,316
2025-11-07,Vanilla Shake,8,30,20,301,0,0,271
2025-11-08,Choco Blast,8,77,68,626,4,0,549
2025-11-08,Coconut Water,5,156,145,826,211,0,670
2025-11-08,Dynamic Green,5,13,12,110,12,0,97
2025-11-08,Kelapa Ijo,5,112,86,509,148,0,397
2025-11-08,Sun Kissed,5,31,26,218,72,0,187
2025-11-08,Tropical Vibes,5,58,44,321,39,0,263
2025-11-08,Vanilla Shake,8,25,36,307,0,0,282
2025-11-09,Choco Blast,8,70,92,632,9,0,562
2025-11-09,Coconut Water,5,155,187,813,44,0,658
2025-11-09,Dynamic Green,5,18,15,104,8,0,86
2025-11-09,Kelapa Ijo,5,141,134,531,0,0,390
2025-11-09,Sun Kissed,5,64,37,192,32,0,128
2025-11-09,Tropical Vibes,5,68,69,306,26,0,238
2025-11-09,Vanilla Shake,8,29,30,307,5,0,278
2025-11-10,Choco Blast,8,37,84,613,33,0,576
2025-11-10,Coconut Water,5,92,186,827,17,0,735
2025-11-10,Dynamic Green,5,7,21,104,3,0,97
2025-11-10,Kelapa Ijo,5,78,169,559,0,0,481
2025-11-10,Sun Kissed,5,28,76,204,0,0,176
2025-11-10,Tropical Vibes,5,31,81,295,24,0,264
2025-11-10,Vanilla Shake,8,10,34,303,9,0,293
2025-11-11,Choco Blast,8,39,44,534,86,0,495
2025-11-11,Coconut Water,5,91,110,738,107,0,647
2025-11-11,Dynamic Green,5,15,8,76,29,0,61
2025-11-11,Kelapa Ijo,5,83,93,563,11,0,480
2025-11-11,Sun Kissed,5,38,33,209,0,0,171
2025-11-11,Tropical Vibes,5,22,37,281,20,0,259
2025-11-11,Vanilla Shake,8,35,12,243,62,0,208
2025-11-12,Choco Blast,8,45,46,517,24,0,472
2025-11-12,Coconut Water,5,120,109,737,19,0,617
2025-11-12,Dynamic Green,5,18,18,74,5,0,56
2025-11-12,Kelapa Ijo,5,73,99,579,0,0,506
2025-11-12,Sun Kissed,5,30,45,216,0,0,186
2025-11-12,Tropical Vibes,5,28,26,257,28,0,229
2025-11-12,Vanilla Shake,8,25,42,249,1,0,224
2025-11-13,Choco Blast,8,47,54,498,28,0,451
2025-11-13,Coconut Water,5,89,144,736,25,0,647
2025-11-13,Dynamic Green,5,12,21,77,0,0,65
2025-11-13,Kelapa Ijo,5,44,87,582,11,0,538
2025-11-13,Sun Kissed,5,20,36,222,0,0,202
2025-11-13,Tropical Vibes,5,24,33,246,16,0,222
2025-11-13,Vanilla Shake,8,22,30,242,12,0,220
2025-11-14,Choco Blast,8,45,56,480,27,0,435
2025-11-14,Coconut Water,5,146,106,655,98,0,509
2025-11-14,Dynamic Green,5,12,14,79,0,0,67
2025-11-14,Kelapa Ijo,5,90,52,500,90,0,410
2025-11-14,Sun Kissed,5,44,24,214,12,0,170
2025-11-14,Tropical Vibes,5,42,28,205,45,0,163
2025-11-14,Vanilla Shake,8,9,26,230,16,0,221
2025-11-15,Choco Blast,8,54,54,489,0,0,435
2025-11-15,Coconut Water,5,146,175,644,40,0,498
2025-11-15,Dynamic Green,5,23,14,75,6,0,52
2025-11-15,Kelapa Ijo,5,105,108,439,79,0,334
2025-11-15,Sun Kissed,5,32,52,190,32,0,158
2025-11-15,Tropical Vibes,5,54,50,174,39,0,120
2025-11-15,Vanilla Shake,8,22,10,220,11,0,198
2025-11-16,Choco Blast,8,62,64,494,5,0,432
2025-11-16,Coconut Water,5,148,175,673,0,0,525
2025-11-16,Dynamic Green,5,12,27,79,0,0,67
2025-11-16,Kelapa Ijo,5,119,126,460,0,0,341
2025-11-16,Sun Kissed,5,36,38,195,1,0,159
2025-11-16,Tropical Vibes,5,39,64,184,0,0,145
2025-11-16,Vanilla Shake,8,35,26,210,14,0,175
2025-11-17,Choco Blast,8,25,74,476,30,0,451
2025-11-17,Coconut Water,5,88,177,702,0,0,614
2025-11-17,Dynamic Green,5,7,14,81,0,0,74
2025-11-17,Kelapa Ijo,5,61,142,483,0,0,422
2025-11-17,Sun Kissed,5,28,43,193,9,0,165
2025-11-17,Tropical Vibes,5,37,46,191,0,0,154
2025-11-17,Vanilla Shake,8,29,42,217,0,0,188
2025-11-18,Choco Blast,8,53,30,422,59,0,369
2025-11-18,Coconut Water,5,78,105,719,0,0,641
2025-11-18,Dynamic Green,5,18,8,77,5,0,59
2025-11-18,Kelapa Ijo,5,73,73,495,0,0,422
2025-11-18,Sun Kissed,5,29,33,190,8,0,161
2025-11-18,Tropical Vibes,5,27,44,198,0,0,171
2025-11-18,Vanilla Shake,8,15,34,222,0,0,207
2025-11-19,Choco Blast,8,33,63,432,0,0,399
2025-11-19,Coconut Water,5,115,93,725,9,0,610
2025-11-19,Dynamic Green,5,20,21,80,0,0,60
2025-11-19,Kelapa Ijo,5,79,87,509,0,0,430
2025-11-19,Sun Kissed,5,49,34,195,0,0,146
2025-11-19,Tropical Vibes,5,34,32,203,0,0,169
2025-11-19,Vanilla Shake,8,13,18,225,0,0,212
2025-11-20,Choco Blast,8,44,39,434,4,0,390
2025-11-20,Coconut Water,5,117,138,688,60,0,571
2025-11-20,Dynamic Green,5,13,24,84,0,0,71
2025-11-20,Kelapa Ijo,5,59,94,522,2,0,463
2025-11-20,Sun Kissed,5,40,58,204,0,0,164
2025-11-20,Tropical Vibes,5,21,40,209,0,0,188
2025-11-20,Vanilla Shake,8,16,15,201,26,0,185
2025-11-21,Choco Blast,8,61,52,432,10,0,371
2025-11-21,Coconut Water,5,136,140,653,58,0,517
2025-11-21,Dynamic Green,5,19,15,82,4,0,63
2025-11-21,Kelapa Ijo,5,88,70,466,67,0,378
2025-11-21,Sun Kissed,5,43,48,212,0,0,169
2025-11-21,Tropical Vibes,5,36,25,187,26,0,151
2025-11-21,Vanilla Shake,8,29,19,190,14,0,161
2025-11-22,Choco Blast,8,42,73,444,0,0,402
2025-11-22,Coconut Water,5,179,163,639,41,0,460
2025-11-22,Dynamic Green,5,15,22,85,0,0,70
2025-11-22,Kelapa Ijo,5,101,105,429,54,0,328
2025-11-22,Sun Kissed,5,57,51,220,0,0,163
2025-11-22,Tropical Vibes,5,72,43,184,10,0,112
2025-11-22,Vanilla Shake,8,32,34,195,0,0,163
2025-11-23,Choco Blast,8,61,50,445,7,0,384
2025-11-23,Coconut Water,5,184,214,674,0,0,490
2025-11-23,Dynamic Green,5,17,18,88,0,0,71
2025-11-23,Kelapa Ijo,5,110,121,449,0,0,339
2025-11-23,Sun Kissed,5,52,68,231,0,0,179
2025-11-23,Tropical Vibes,5,77,86,198,0,0,121
2025-11-23,Vanilla Shake,8,24,38,201,0,0,177
2025-11-24,Choco Blast,8,30,73,454,3,0,424
2025-11-24,Coconut Water,5,94,220,710,0,0,616
2025-11-24,Dynamic Green,5,11,20,91,0,0,80
2025-11-24,Kelapa Ijo,5,86,132,471,0,0,385
2025-11-24,Sun Kissed,5,23,62,241,0,0,218
2025-11-24,Tropical Vibes,5,34,92,213,0,0,179
2025-11-24,Vanilla Shake,8,22,28,205,0,0,183
2025-11-25,Choco Blast,8,45,36,416,44,0,371
2025-11-25,Coconut Water,5,131,112,728,0,0,597
2025-11-25,Dynamic Green,5,35,13,88,5,0,53
2025-11-25,Kelapa Ijo,5,96,103,488,0,0,392
2025-11-25,Sun Kissed,5,37,27,245,0,0,208
2025-11-25,Tropical Vibes,5,44,40,219,0,0,175
2025-11-25,Vanilla Shake,8,33,26,209,0,0,176
2025-11-26,Choco Blast,8,50,54,425,0,0,375
2025-11-26,Coconut Water,5,142,157,754,0,0,612
2025-11-26,Dynamic Green,5,23,42,95,0,0,72
2025-11-26,Kelapa Ijo,5,97,115,507,0,0,410
2025-11-26,Sun Kissed,5,47,44,252,0,0,205
2025-11-26,Tropical Vibes,5,46,52,227,0,0,181
2025-11-26,Vanilla Shake,8,25,39,215,0,0,190
2025-11-27,Choco Blast,8,53,60,435,0,0,382
2025-11-27,Coconut Water,5,154,170,782,0,0,628
2025-11-27,Dynamic Green,5,23,27,99,0,0,76
2025-11-27,Kelapa Ijo,5,99,116,526,0,0,427
2025-11-27,Sun Kissed,5,51,56,257,4,0,206
2025-11-27,Tropical Vibes,5,76,55,236,0,0,160
2025-11-27,Vanilla Shake,8,27,30,220,0,0,193
2025-11-28,Choco Blast,8,47,63,445,0,0,398
2025-11-28,Coconut Water,5,200,184,812,0,0,612
2025-11-28,Dynamic Green,5,22,27,103,0,0,81
2025-11-28,Kelapa Ijo,5,130,118,545,0,0,415
2025-11-28,Sun Kissed,5,58,61,250,17,0,192
2025-11-28,Tropical Vibes,5,62,91,251,0,0,189
2025-11-28,Vanilla Shake,8,35,32,225,0,0,190
2025-11-29,Choco Blast,8,76,56,454,0,0,378
2025-11-29,Coconut Water,5,226,240,852,0,0,626
2025-11-29,Dynamic Green,5,57,26,107,0,0,50
2025-11-29,Kelapa Ijo,5,154,156,571,0,0,417
2025-11-29,Sun Kissed,5,89,69,257,4,0,168
2025-11-29,Tropical Vibes,5,66,74,263,0,0,197
2025-11-29,Vanilla Shake,8,40,42,232,0,0,192
2025-11-30,Choco Blast,8,85,91,469,0,0,384
2025-11-30,Coconut Water,5,233,271,897,0,0,664
2025-11-30,Dynamic Green,5,27,68,118,0,0,91
2025-11-30,Kelapa Ijo,5,135,184,601,0,0,466
2025-11-30,Sun Kissed,5,82,106,274,0,0,192
2025-11-30,Tropical Vibes,5,75,79,276,0,0,201
2025-11-30,Vanilla Shake,8,49,48,240,0,0,191
